cell_index,lon_min,lon_max,lat_min,lat_max,ray_count,phase_velocity_km_s
0,-122.34,-122.33,46.08,46.089999999999996,0.0,2.7291175368878484
1,-122.33,-122.32,46.08,46.089999999999996,0.0,2.728293342833953
2,-122.32,-122.30999999999999,46.08,46.089999999999996,0.0,2.7268099164644735
3,-122.30999999999999,-122.29999999999998,46.08,46.089999999999996,0.0,2.725019330317356
4,-122.29999999999998,-122.28999999999998,46.08,46.089999999999996,0.0,2.723615256781032
5,-122.28999999999998,-122.27999999999997,46.08,46.089999999999996,0.0,2.7238593666080377
6,-122.27999999999997,-122.26999999999997,46.08,46.089999999999996,0.0,2.7278136760895912
7,-122.26999999999997,-122.25999999999996,46.08,46.089999999999996,0.0,2.7384189065417983
8,-122.25999999999996,-122.24999999999996,46.08,46.089999999999996,0.0,2.758918659141489
9,-122.24999999999996,-122.23999999999995,46.08,46.089999999999996,0.0,2.791189090390191
10,-122.23999999999995,-122.22999999999995,46.08,46.089999999999996,0.0,2.8341840706877464
11,-122.22999999999995,-122.21999999999994,46.08,46.089999999999996,0.0,2.8828462874372147
12,-122.21999999999994,-122.20999999999994,46.08,46.089999999999996,0.0,2.9276564251966053
13,-122.20999999999994,-122.19999999999993,46.08,46.089999999999996,0.0,2.954618011193035
14,-122.19999999999993,-122.18999999999993,46.08,46.089999999999996,0.0,2.9552338491708725
15,-122.18999999999993,-122.17999999999992,46.08,46.089999999999996,0.0,2.9326016856453534
16,-122.17999999999992,-122.16999999999992,46.08,46.089999999999996,0.0,2.897331752331898
17,-122.16999999999992,-122.15999999999991,46.08,46.089999999999996,0.0,2.8582084753317365
18,-122.15999999999991,-122.1499999999999,46.08,46.089999999999996,0.0,2.8208757924099164
19,-122.1499999999999,-122.1399999999999,46.08,46.089999999999996,0.0,2.788480963358986
20,-122.1399999999999,-122.1299999999999,46.08,46.089999999999996,0.0,2.762467315743695
21,-122.1299999999999,-122.11999999999989,46.08,46.089999999999996,0.0,2.743287905772942
22,-122.11999999999989,-122.10999999999989,46.08,46.089999999999996,0.0,2.7308799951307074
23,-122.10999999999989,-122.09999999999988,46.08,46.089999999999996,0.0,2.7246966407378497
24,-122.09999999999988,-122.08999999999988,46.08,46.089999999999996,0.0,2.723789334753798
25,-122.08999999999988,-122.07999999999987,46.08,46.089999999999996,0.0,2.7268858998427468
26,-122.07999999999987,-122.06999999999987,46.08,46.089999999999996,0.0,2.7324281907711208
27,-122.06999999999987,-122.05999999999986,46.08,46.089999999999996,0.0,2.738691586184738
28,-122.05999999999986,-122.04999999999986,46.08,46.089999999999996,0.0,2.744009108410272
29,-122.04999999999986,-122.03999999999985,46.08,46.089999999999996,0.0,2.747051690652208
30,-122.34,-122.33,46.089999999999996,46.099999999999994,0.0,2.725365259675045
31,-122.33,-122.32,46.089999999999996,46.099999999999994,0.0,2.7243281384153533
32,-122.32,-122.30999999999999,46.089999999999996,46.099999999999994,0.0,2.7223921832754137
33,-122.30999999999999,-122.29999999999998,46.089999999999996,46.099999999999994,0.0,2.7197940659750564
34,-122.29999999999998,-122.28999999999998,46.089999999999996,46.099999999999994,0.0,2.717041756524801
35,-122.28999999999998,-122.27999999999997,46.089999999999996,46.099999999999994,0.0,2.7152515697791633
36,-122.27999999999997,-122.26999999999997,46.089999999999996,46.099999999999994,0.0,2.7165956473905317
37,-122.26999999999997,-122.25999999999996,46.089999999999996,46.099999999999994,0.0,2.7248496031108274
38,-122.25999999999996,-122.24999999999996,46.089999999999996,46.099999999999994,0.0,2.7452095669112606
39,-122.24999999999996,-122.23999999999995,46.089999999999996,46.099999999999994,0.0,2.7812638737233817
40,-122.23999999999995,-122.22999999999995,46.089999999999996,46.099999999999994,0.0,2.832844864447534
41,-122.22999999999995,-122.21999999999994,46.089999999999996,46.099999999999994,0.0,2.8947214452235217
42,-122.21999999999994,-122.20999999999994,46.089999999999996,46.099999999999994,163.0,2.956619428703984
43,-122.20999999999994,-122.19999999999993,46.089999999999996,46.099999999999994,226.0,2.9937248495557425
44,-122.19999999999993,-122.18999999999993,46.089999999999996,46.099999999999994,36.0,2.9911433927718907
45,-122.18999999999993,-122.17999999999992,46.089999999999996,46.099999999999994,4.0,2.956296440365789
46,-122.17999999999992,-122.16999999999992,46.089999999999996,46.099999999999994,3.0,2.9097295072694616
47,-122.16999999999992,-122.15999999999991,46.089999999999996,46.099999999999994,0.0,2.8620353945632204
48,-122.15999999999991,-122.1499999999999,46.089999999999996,46.099999999999994,0.0,2.8186590026555076
