cell_index,lon_min,lon_max,lat_min,lat_max,ray_count
110,-122.1399999999999,-122.1299999999999,46.10999999999999,46.11999999999999,21.0
111,-122.1299999999999,-122.11999999999989,46.10999999999999,46.11999999999999,18.0
112,-122.11999999999989,-122.10999999999989,46.10999999999999,46.11999999999999,13.0
113,-122.10999999999989,-122.09999999999988,46.10999999999999,46.11999999999999,8.0
114,-122.09999999999988,-122.08999999999988,46.10999999999999,46.11999999999999,4.0
115,-122.08999999999988,-122.07999999999987,46.10999999999999,46.11999999999999,0.0
116,-122.07999999999987,-122.06999999999987,46.10999999999999,46.11999999999999,0.0
117,-122.06999999999987,-122.05999999999986,46.10999999999999,46.11999999999999,0.0
118,-122.05999999999986,-122.04999999999986,46.10999999999999,46.11999999999999,0.0
119,-122.04999999999986,-122.03999999999985,46.10999999999999,46.11999999999999,0.0
120,-122.34,-122.33,46.11999999999999,46.12999999999999,0.0
121,-122.33,-122.32,46.11999999999999,46.12999999999999,0.0
122,-122.32,-122.30999999999999,46.11999999999999,46.12999999999999,0.0
123,-122.30999999999999,-122.29999999999998,46.11999999999999,46.12999999999999,0.0
124,-122.29999999999998,-122.28999999999998,46.11999999999999,46.12999999999999,0.0
125,-122.28999999999998,-122.27999999999997,46.11999999999999,46.12999999999999,0.0
126,-122.27999999999997,-122.26999999999997,46.11999999999999,46.12999999999999,102.0
127,-122.26999999999997,-122.25999999999996,46.11999999999999,46.12999999999999,764.0
128,-122.25999999999996,-122.24999999999996,46.11999999999999,46.12999999999999,296.0
129,-122.24999999999996,-122.23999999999995,46.11999999999999,46.12999999999999,402.0
130,-122.23999999999995,-122.22999999999995,46.11999999999999,46.12999999999999,552.0
131,-122.22999999999995,-122.21999999999994,46.11999999999999,46.12999999999999,587.0
132,-122.21999999999994,-122.20999999999994,46.11999999999999,46.12999999999999,889.0
133,-122.20999999999994,-122.19999999999993,46.11999999999999,46.12999999999999,1277.0
134,-122.19999999999993,-122.18999999999993,46.11999999999999,46.12999999999999,1454.0
135,-122.18999999999993,-122.17999999999992,46.11999999999999,46.12999999999999,1189.0
136,-122.17999999999992,-122.16999999999992,46.11999999999999,46.12999999999999,508.0
137,-122.16999999999992,-122.15999999999991,46.11999999999999,46.12999999999999,295.0
138,-122.15999999999991,-122.1499999999999,46.11999999999999,46.12999999999999,185.0
139,-122.1499999999999,-122.1399999999999,46.11999999999999,46.12999999999999,128.0
140,-122.1399999999999,-122.1299999999999,46.11999999999999,46.12999999999999,82.0
141,-122.1299999999999,-122.11999999999989,46.11999999999999,46.12999999999999,58.0
142,-122.11999999999989,-122.10999999999989,46.11999999999999,46.12999999999999,50.0
143,-122.10999999999989,-122.09999999999988,46.11999999999999,46.12999999999999,48.0
144,-122.09999999999988,-122.08999999999988,46.11999999999999,46.12999999999999,50.0
145,-122.08999999999988,-122.07999999999987,46.11999999999999,46.12999999999999,52.0
146,-122.07999999999987,-122.06999999999987,46.11999999999999,46.12999999999999,54.0
147,-122.06999999999987,-122.05999999999986,46.11999999999999,46.12999999999999,61.0
148,-122.05999999999986,-122.04999999999986,46.11999999999999,46.12999999999999,64.0
149,-122.04999999999986,-122.03999999999985,46.11999999999999,46.12999999999999,0.0
150,-122.34,-122.33,46.12999999999999,46.139999999999986,0.0
151,-122.33,-122.32,46.12999999999999,46.139999999999986,0.0
152,-122.32,-122.30999999999999,46.12999999999999,46.139999999999986,2.0
153,-122.30999999999999,-122.29999999999998,46.12999999999999,46.139999999999986,2.0
154,-122.29999999999998,-122.28999999999998,46.12999999999999,46.139999999999986,3.0
155,-122.28999999999998,-122.27999999999997,46.12999999999999,46.139999999999986,4.0
156,-122.27999999999997,-122.26999999999997,46.12999999999999,46.139999999999986,59.0
157,-122.26999999999997,-122.25999999999996,46.12999999999999,46.139999999999986,433.0
158,-122.25999999999996,-122.24999999999996,46.12999999999999,46.139999999999986,796.0
159,-122.24999999999996,-122.23999999999995,46.12999999999999,46.139999999999986,864.0
160,-122.23999999999995,-122.22999999999995,46.12999999999999,46.139999999999986,810.0
161,-122.22999999999995,-122.21999999999994,46.12999999999999,46.139999999999986,853.0
162,-122.21999999999994,-122.20999999999994,46.12999999999999,46.139999999999986,1048.0
163,-122.20999999999994,-122.19999999999993,46.12999999999999,46.139999999999986,1086.0
164,-122.19999999999993,-122.18999999999993,46.12999999999999,46.139999999999986,2339.0
165,-122.18999999999993,-122.17999999999992,46.12999999999999,46.139999999999986,1985.0
166,-122.17999999999992,-122.16999999999992,46.12999999999999,46.139999999999986,1523.0
