period_s,input_count,left_screened_count,corrected_count,reference_velocity_km_s,left_fit_velocity_km_s,fit_velocity_km_s,std_velocity_km_s,median_velocity_km_s,wang_velocity_km_s,quality_screened_count,strict_source_count,wavelength_filter_reference_velocity_km_s,wavelength_distance_cutoff_km,wavelength_filter_mode
3.0,77453,25561,25474,2.8071581037151185,2.806916395842851,2.8079394674708276,0.1668953194165984,2.795,2.7,25561,25474,2.806916395842851,8.420749187528553,distance >= min_wavelengths * period * quality_screen_fit_velocity
3.5,76355,23381,22947,2.874254983617525,2.872749337735265,2.8756056138483195,0.1987683116450856,2.8550000000000004,nan,23381,22947,2.872749337735265,10.054622682073427,distance >= min_wavelengths * period * quality_screen_fit_velocity
4.0,75025,20575,18759,2.9549034413166155,2.947153216930016,2.9572768158002063,0.23454327861304178,2.935,2.9,20575,18759,2.947153216930016,11.788612867720063,distance >= min_wavelengths * period * quality_screen_fit_velocity
